20:00:04.792 ERROR com.ctrip.flight.exchange.demo 18 main - 我是debug信息
20:00:04.885 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:04.887 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:04.887 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:04.888 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:04.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:05.886 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:05.887 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:05.888 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:05.888 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:05.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:06.886 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:06.887 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:06.888 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:06.888 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:06.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:07.886 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:07.887 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:07.888 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:07.888 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:07.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:08.888 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:08.889 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:08.889 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
20:00:08.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:08.891 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:09.889 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread1 error
20:00:09.890 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread0 error
20:00:09.891 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread2 error
20:00:09.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread3 error
20:00:09.892 ERROR com.ctrip.flight.exchange.Task 21 run - QQThread4 error
